video_id,preset_id,animation_rating,noise_rating,overall_rating,notes
HV-000001,VP-002,5,5,5,Strong calibration result
HV-000002,VP-003,2,5,2,Animation too noticeable
HV-000003,VP-004,2,3,2,Animation too noticeable
HV-000004,VP-005,1,5,1,Animation much too noticeable
HV-000005,VP-006,1,5,1,Animation much too noticeable
HV-000006,VP-007,1,3,1,Animation much too noticeable
HV-000007,VP-008,1,4,1,Animation much too noticeable
HV-000008,VP-009,1,3,1,Animation much too noticeable
HV-000009,VP-010,1,5,1,Animation much too noticeable
HV-000010,VP-011,0,4,0,Motion acceptable but black edge lines; requires tighter safety crop
